DIGISAY CO. LTD.,Berry Parker,5784-1266,6028-8010,1,"57,300.00"
EMTELLO LTD,Megan Hembly,2420-0641,5784-1698,1,"21,000.00"
FIRELAND BROS.,Amelia Bridney,5948-0015,NULL,1,"36,800.00"
FOXY ELECTRONICS,Reddy Floyd,5284-5412,NULL,1,"182,700.00"
JINFIX COMPUTERS,Jordan Liu Min,5841-2556,2195-5412,1,"85,200.00"
LAMBONI STAT INC.,Frederic Pey,5255-7435,NULL,2,"50,000.00"
MOTTOWAY CORP.,Stevens Seernah,5794-2513,NULL,2,"6,569,625.00"
PEGASUS LTD,Georges Neeroo,4615-5841,5741-2545,2,"275,000.00"
SAFEDEST TAXI SERVICES,Steeve Narsimullu,5874-1002,2174-4512,1,"26,700.00"
STUFFIE STATIONERY,Zenhir Belall,6547-7416,NULL,1,"250,000.00"
